height,weight,born
203,99,1956
198,88,1956
183,81,1955
198,88,1955
201,99,1956
208,108,1956
198,83,1956
201,92,1955
183,83,1956
196,88,1956
183,72,1955
201,97,1956
201,95,1955
198,92,1956
196,90,1956
190,92,1956
198,85,1955
198,85,1955
211,104,1956
198,95,1955
201,104,1955
198,90,1957
201,95,1957
201,104,1944
201,86,1957
208,102,1955
190,79,1955
201,97,1956
190,79,1955
208,99,1956
193,86,1956
196,90,1956
206,99,1957
206,99,1957
206,99,1956
203,102,1956
198,88,1957
216,111,1957
208,97,1956
198,81,1955
201,102,1951
193,88,1957
206,104,1956
196,86,1957
193,86,1957
206,102,1957
188,81,1956
203,91,1955
185,77,1955
193,81,1957
206,100,1957
188,81,1957
188,79,1956
190,83,1957
190,81,1956
203,97,1956
188,79,1957
203,95,1954
183,77,1949
201,98,1956
188,90,1956
206,102,1953
201,86,1957
206,102,1951
208,104,1956
198,102,1957
206,99,1956
185,77,1957
190,83,1957
208,104,1956
213,113,1957
190,81,1957
198,99,1957
211,99,1957
201,99,1957
206,102,1951
190,88,1956
206,99,1960
196,86,1957
206,95,1956
188,81,1956
201,95,1958
190,79,1955
203,95,1957
206,99,1958
196,83,1957
193,81,1958
201,99,1958
190,86,1919
208,97,1958
193,88,1969
196,81,1958
190,79,1957
193,83,1954
198,81,1951
190,83,1958
206,95,1957
201,92,1958
218,124,1957
185,77,1958
218,113,1954
190,88,1958
193,81,1958
201,86,1956
211,113,1959
193,86,1958
201,83,1957
201,88,1957
208,88,1957
203,99,1957
193,90,1942
211,92,1957
206,92,1957
208,102,1956
201,89,1956
198,98,1959
193,86,1958
193,79,1957
211,111,1957
213,103,1952
188,79,1959
190,79,1957
208,108,1958
185,77,1959
201,92,1957
201,95,1957
208,95,1957
198,97,1958
185,79,1958
185,77,1957
190,83,1958
185,79,1958
198,102,1955
201,93,1958
213,97,1957
203,79,1958
203,99,1954
198,86,1957
198,99,1958
185,77,1958
203,97,1957
196,86,1957
203,98,1958
185,79,1958
203,94,1958
201,95,1957
185,76,1956
203,97,1958
188,79,1958
201,97,1957
196,95,1956
190,80,1957
201,95,1957
203,99,1958
213,99,1955
201,104,1939
206,90,1957
198,86,1953
211,104,1955
196,88,1958
196,88,1958
198,105,1959
193,79,1959
213,95,1958
201,97,1959
198,86,1959
193,83,1958
198,86,1953
196,97,1959
208,99,1958
193,83,1958
196,79,1958
188,81,1958
206,113,1958
208,99,1959
208,104,1957
188,72,1949
203,99,1958
190,77,1958
188,77,1956
203,86,1959
185,77,1959
218,117,1958
183,77,1955
213,92,1955
198,92,1959
208,108,1956
185,83,1958
203,99,1944
198,86,1959
198,88,1959
193,87,1952
213,108,1958
198,92,1959
198,92,1959
201,92,1958
193,86,1956
206,97,1959
196,86,1959
196,88,1959
208,92,1959
208,98,1958
193,86,1959
201,86,1956
203,96,1958
208,108,1958
211,106,1959
206,102,1958
201,104,1959
185,81,1961
206,102,1958
198,99,1959
196,86,1959
185,83,1959
206,97,1959
201,99,1959
201,95,1958
203,97,1960
208,109,1958
201,86,1959
198,87,1958
201,106,1959
206,97,1959
206,99,1958
190,83,1960
190,83,1960
208,108,1960
183,83,1960
208,108,1956
193,81,1959
188,81,1955
206,99,1961
190,81,1961
224,124,1957
193,81,1959
196,88,1960
211,111,1959
203,102,1957
190,77,1960
208,99,1940
201,97,1961
208,106,1960
201,90,1960
188,86,1960
203,95,1956
211,111,1960
203,86,1959
201,102,1961
206,108,1960
190,77,1960
203,95,1961
206,102,1958
203,91,1959
211,106,1959
203,92,1960
201,107,1960
226,98,1959
206,104,1960
201,102,1961
193,92,1959
203,99,1958
196,83,1958
193,81,1960
196,88,1960
198,95,1960
208,95,1960
188,77,1959
196,92,1960
190,81,1920
196,88,1959
193,79,1960
196,81,1960
196,88,1960
201,88,1960
203,102,1960
208,111,1961
211,97,1960
201,86,1959
196,87,1959
196,88,1959
203,95,1959
201,90,1960
185,79,1957
190,85,1944
206,102,1961
216,108,1953
206,92,1961
211,97,1961
221,104,1960
213,111,1959
196,97,1961
193,95,1960
203,95,1961
208,97,1961
203,99,1960
201,95,1962
198,81,1961
201,92,1960
185,72,1960
203,92,1959
208,92,1960
190,86,1961
188,83,1933
198,86,1961
193,83,1961
206,95,1961
206,97,1957
206,102,1953
211,113,1961
208,104,1961
206,111,1960
183,88,1960
193,92,1961
201,86,1960
201,99,1961
206,97,1960
206,99,1960
208,104,1956
188,83,1960
203,104,1961
216,108,1960
203,97,1960
193,83,1961
208,98,1960
224,103,1960
190,88,1961
211,111,1960
188,77,1961
190,86,1961
190,86,1960
198,95,1961
188,79,1961
211,102,1961
193,81,1961
206,104,1960
208,104,1960
190,80,1962
193,83,1959
188,79,1961
193,79,1959
198,95,1959
211,117,1959
201,97,1958
206,106,1960
198,114,1963
198,95,1963
216,106,1961
206,108,1959
198,83,1960
188,83,1962
206,101,1962
201,97,1962
196,95,1959
206,102,1961
216,104,1959
190,74,1962
201,90,1960
203,92,1962
196,99,1962
196,83,1962
190,83,1962
190,90,1962
213,106,1963
193,83,1961
190,83,1962
188,86,1962
213,95,1961
211,106,1960
198,88,1963
201,97,1962
211,108,1962
206,99,1962
213,115,1963
206,106,1961
208,106,1962
206,97,1962
201,99,1962
190,83,1962
206,97,1960
211,108,1954
198,95,1960
196,83,1962
203,95,1962
193,90,1962
196,77,1961
185,77,1962
201,95,1961
198,95,1962
206,102,1962
206,104,1962
211,108,1960
190,88,1962
190,88,1962
208,99,1960
188,79,1953
188,79,1961
183,86,1961
190,83,1962
190,79,1962
201,99,1961
178,73,1963
188,79,1962
213,113,1964
216,114,1962
231,90,1962
213,106,1963
203,99,1963
201,102,1963
190,86,1962
203,104,1963
198,95,1962
213,106,1958
208,108,1961
190,86,1963
213,108,1962
203,106,1960
203,106,1960
203,97,1959
203,97,1959
203,92,1958
196,88,1963
211,104,1959
198,92,1960
198,92,1960
203,108,1962
211,111,1957
193,83,1963
211,115,1962
213,113,1963
208,97,1962
206,113,1963
201,92,1962
206,96,1962
198,83,1963
201,92,1963
203,95,1962
201,95,1961
190,81,1961
188,83,1958
198,90,1963
203,102,1963
193,81,1961
206,88,1963
190,88,1963
213,113,1962
203,90,1962
196,88,1959
206,97,1963
201,85,1962
213,113,1962
203,99,1962
208,99,1963
208,102,1962
206,108,1964
188,80,1962
216,115,1963
188,83,1963
168,60,1963
213,111,1963
198,83,1963
201,86,1965
203,90,1962
201,97,1964
203,98,1963
213,102,1963
203,97,1964
203,106,1961
201,83,1963
206,116,1963
206,106,1961
193,86,1964
213,111,1965
188,74,1963
190,88,1964
216,113,1962
213,124,1964
211,106,1962
203,102,1964
196,92,1963
198,83,1964
203,95,1965
193,88,1964
201,88,1963
190,86,1963
190,83,1964
201,86,1964
203,99,1944
198,88,1962
208,111,1964
206,106,1964
206,99,1964
208,104,1960
206,99,1962
198,90,1964
201,90,1963
196,88,1964
211,106,1962
198,81,1963
201,86,1963
188,77,1963
203,99,1964
196,81,1963
201,95,1963
183,77,1964
201,95,1961
208,102,1963
196,90,1962
211,104,1964
213,95,1962
196,79,1961
185,81,1964
198,95,1964
190,77,1965
196,95,1964
211,104,1964
201,88,1963
180,72,1964
203,95,1964
211,102,1965
188,86,1964
188,83,1951
196,83,1963
211,102,1962
196,95,1963
211,99,1962
188,83,1964
208,104,1964
206,104,1965
198,95,1966
193,77,1965
160,61,1965
203,95,1961
206,92,1964
201,105,1965
180,77,1965
188,81,1950
193,86,1964
208,102,1965
196,95,1965
188,77,1964
206,104,1964
208,97,1965
196,88,1964
211,106,1964
196,90,1965
178,74,1960
185,81,1965
201,97,1949
206,99,1965
203,108,1962
193,95,1964
198,90,1963
201,88,1965
211,104,1964
206,92,1966
201,83,1965
206,97,1964
213,117,1962
196,102,1964
